ID,data,No
4V,-0.151950715506958,5
3H,0.0345185267864271,5
3V,0.0454313139741036,5
4H,0.0403841770058708,5
4V,-0.0938424254075547,5
3H,0.072040078243513,5
3V,-0.0775349643227092,5
4H,0.032965984148728,5
4V,-0.111144946153082,5
3H,0.243845114491018,5
3V,-0.0347435006772908,5
4H,-0.0644090050880626,5
4V,0.0908190157256461,5
3H,0.223053344510978,5
3V,-0.098572583187251,5
4H,0.161789089921722,5
4V,-0.0479959076441352,5
3H,0.192893384830339,5
3V,0.101309074870518,5
4H,0.188807810078278,5
4V,0.0697389702683897,5
3H,0.203707056926148,5
3V,-0.0762906735358566,5
4H,0.0710850944227006,5
4V,0.0936794886182903,5
3H,0.328250308023952,5
3V,0.131530166713147,5
4H,-0.0590769921722114,5
4V,0.205845250516899,5
3H,0.195497692774451,5
3V,0.113733773605578,5
4H,0.0826935799412916,5
4V,0.17524851499006,5
3H,0.081877897245509,5
3V,0.157520669880478,5
4H,0.140682209197652,5
4V,0.00572753865805169,5
3H,0.0132632265868263,5
3V,0.149721091045817,5
4H,-0.0123979687866928,5
4V,0.21189414860835,5
3H,-0.062761828502994,5
3V,0.0321447162549801,5
4H,-0.119133868590998,5
4V,0.00713044574552684,5
3H,-0.0677813728542914,5
3V,0.175541642300797,5
4H,-0.00689260567514677,5
4V,0.157818457236581,5
3H,-0.14761225500998,5
3V,-0.0366979476693227,5
4H,-0.0325185466731898,5
4V,0.0674433041252485,5
3H,-0.14299525005988,5
3V,0.0634765652390438,5
4H,-0.0773803818003914,5
4V,0.0185358981709742,5
3H,-0.167574549860279,5
3V,-0.0038608103187251,5
4H,-0.208648323091977,5
4V,-0.0986463193737575,5
3H,-0.285451504510978,5
3V,-0.0805880290338646,5
4H,-0.0592383871819961,5
4V,0.0174366506262425,5
3H,-0.21159772255489,5
3V,-0.0726063588645418,5
4H,0.0228877624266145,5
4V,-0.219047328071571,5
3H,-0.141220417245509,5
3V,-0.0520421774701195,5
4H,-0.0475103498043053,5
4V,-0.204915012952286,5
3H,-0.112652317924152,5
3V,0.0479988017928287,5
4H,-0.0834715490215264,5
4V,-0.228551871759443,5
3H,-0.0624202799201597,5
3V,-0.142153109282869,5
4H,0.0235931183953033,5
4V,-0.0610775607455268,5
3H,0.0298222337724551,5
3V,0.00978390035856574,5
4H,0.0471508122309198,5
4V,-0.0513179430417495,5
3H,0.0375497704590818,5
3V,0.161144287440239,5
4H,0.116550666438356,5
4V,-0.113446685487078,5
3H,0.0970646110179641,5
3V,-0.225411337201195,5
4H,-0.0688563342465753,5
4V,0.0110112147017893,5
3H,0.202450646067864,5
3V,-0.0321335248804781,5
4H,0.0739782494129159,5
4V,0.143157774512922,5
3H,0.0824634091017964,5
3V,0.00447897280876494,5
4H,0.13573276223092,5
4V,-0.0167675602683897,5
3H,0.139660598562874,5
3V,-0.173806652958167,5
4H,0.0921262216242662,5
4V,0.147111421759443,5
3H,0.24362554754491,5
3V,0.00458822760956175,5
4H,0.0477904146771037,5
4V,0.0961269845328032,5
3H,0.117612417724551,5
3V,0.276796563794821,5
4H,0.0504623987279844,5
4V,0.102388444304175,5
3H,0.164654635928144,5
3V,0.0492491622908367,5
4H,0.00789595929549902,5
4V,0.313450046083499,5
3H,0.0760715713373253,5
3V,0.230824571503984,5
4H,-0.0169110514677104,5
4V,0.130780611550696,5
3H,-0.032504283512974,5
3V,-0.0673196404482072,5
4H,-0.0143406864970646,5
4V,0.0341682914314115,5
3H,-0.100600532215569,5
3V,0.0555131042031873,5
4H,0.014656616927593,5
4V,0.103013982962227,5
3H,-0.138695397365269,5
3V,-0.0205646554183267,5
4H,-0.104668093639922,5
4V,0.019058192584493,5
3H,-0.146483924870259,5
3V,-0.0147741509760956,5
4H,-0.111105961252446,5
4V,0.12895258110338,5
3H,-0.216470888942116,5
3V,-0.0972433164442231,5
4H,-0.111261378669276,5
4V,-0.0513057966600398,5
3H,-0.186152353133733,5
3V,0.0288670722310757,5
4H,0.0359069598825832,5
4V,-0.2582983605666,5
3H,-0.149722537325349,5
3V,-0.018500953625498,5
4H,-0.14266167446184,5
4V,-0.0855828858449304,5
3H,-0.127979310578842,5
3V,0.0740682112051793,5
4H,-0.128757793248532,5
4V,-0.0862327172664016,5
3H,-0.12208759752495,5
3V,0.081873859750996,5
4H,-0.0500866923679061,5
4V,-0.293565379860835,5
3H,-0.0685803525748503,5
3V,0.00394483822709163,5
4H,-0.0757006781800391,5
4V,-0.11803801777336,5
3H,-0.0393169579241517,5
3V,-0.0546521532669323,5
4H,-0.0720125033268102,5
4V,-0.237801341431412,5
3H,0.0233572070259481,5
3V,-0.0616444605179283,5
4H,0.0458716073385519,5
4V,0.0134587106163022,5
3H,0.00978065085828344,5
3V,0.0252616638047809,5
4H,0.122839094227006,5
4V,-0.0372038474950298,5
3H,0.224077990259481,5
3V,-0.0742815991434263,5
4H,0.170779389726027,5
4V,-0.128411027753479,5
3H,0.205536781477046,5
3V,-0.00920822584661355,5
4H,0.0526083545988258,5
4V,0.106141676252485,5
3H,0.0810423230339321,5
3V,-0.158438144312749,5
4H,0.17842473111546,5
4V,-0.0707703733499006,5
3H,0.0874646562075848,5
3V,0.0346697160956175,5
4H,0.167150990802348,5
4V,0.223809749065606,5
3H,0.235111229301397,5
